iter	Passed	Remaining
0	29	29667
1	56	27983
2	82	27453
3	108	27124
4	140	27937
5	182	30227
6	226	32126
7	270	33487
8	317	34996
9	361	35827
10	405	36489
11	450	37124
12	494	37560
13	538	37930
14	581	38217
15	625	38489
16	670	38758
17	715	39053
18	760	39266
19	807	39571
20	852	39739
21	896	39837
22	939	39894
23	984	40023
24	1032	40285
25	1080	40489
26	1123	40480
27	1167	40533
28	1211	40563
29	1257	40647
30	1300	40666
31	1345	40691
32	1391	40770
33	1437	40844
34	1480	40825
35	1525	40849
36	1569	40861
37	1617	40945
38	1659	40896
39	1705	40934
40	1750	40946
41	1791	40864
42	1836	40878
43	1880	40864
44	1924	40840
45	1967	40800
46	2010	40771
47	2056	40780
48	2100	40757
49	2144	40738
50	2187	40704
51	2232	40705
52	2277	40685
53	2322	40688
54	2367	40674
55	2412	40666
56	2455	40629
57	2500	40613
58	2544	40587
59	2590	40584
60	2633	40546
61	2677	40515
62	2722	40492
63	2765	40447
64	2807	40385
65	2854	40393
66	2899	40370
67	2942	40333
68	2987	40306
69	3031	40276
70	3076	40256
71	3120	40222
72	3164	40186
73	3211	40189
74	3255	40156
75	3300	40124
76	3344	40093
77	3392	40097
78	3436	40068
79	3481	40036
80	3525	40000
81	3567	39944
82	3617	39963
83	3662	39943
84	3707	39911
85	3749	39845
86	3795	39831
87	3840	39803
88	3882	39742
89	3925	39694
90	3970	39659
91	4014	39625
92	4061	39608
93	4106	39579
94	4149	39531
95	4195	39510
96	4239	39470
97	4284	39436
98	4328	39394
99	4373	39358
100	4419	39339
101	4463	39296
102	4508	39267
103	4551	39213
104	4596	39179
105	4642	39151
106	4682	39076
107	4724	39024
108	4766	38962
109	4809	38914
110	4853	38873
111	4896	38825
112	4939	38776
113	4984	38739
114	5025	38671
115	5068	38623
116	5110	38567
117	5154	38529
118	5197	38478
119	5239	38423
120	5283	38383
121	5324	38322
122	5371	38296
123	5415	38256
124	5460	38226
125	5503	38175
126	5547	38132
127	5592	38100
128	5638	38068
129	5678	38001
130	5721	37957
131	5765	37911
132	5810	37875
133	5853	37830
134	5899	37801
135	5941	37744
136	5986	37709
137	6030	37671
138	6072	37616
139	6117	37580
140	6162	37541
141	6207	37505
142	6251	37462
143	6294	37417
144	6337	37372
145	6381	37326
146	6424	37277
147	6469	37245
148	6516	37219
149	6560	37175
150	6605	37137
151	6651	37109
152	6695	37064
153	6737	37010
154	6781	36969
155	6823	36919
156	6869	36882
157	6914	36847
158	6957	36800
159	7001	36755
160	7047	36723
161	7091	36681
162	7133	36629
163	7177	36588
164	7220	36542
165	7264	36497
166	7309	36461
167	7354	36424
168	7400	36387
169	7445	36352
170	7490	36313
171	7532	36262
172	7578	36227
173	7624	36194
174	7668	36153
175	7711	36103
176	7756	36064
177	7800	36023
178	7844	35977
179	7889	35940
180	7934	35900
181	7978	35857
182	8023	35819
183	8065	35767
184	8110	35728
185	8215	35953
186	8252	35880
187	8289	35802
188	8319	35700
189	8360	35643
190	8402	35591
191	8445	35539
192	8489	35495
193	8532	35450
194	8575	35402
195	8618	35355
196	8662	35310
197	8707	35269
198	8751	35227
199	8794	35176
200	8838	35135
201	8902	35171
202	8968	35213
203	8996	35102
204	9029	35018
205	9071	34966
206	9114	34916
207	9161	34884
208	9205	34838
209	9250	34798
210	9294	34754
211	9336	34704
212	9388	34687
213	9434	34653
214	9479	34612
215	9524	34571
216	9570	34533
217	9618	34503
218	9667	34477
219	9711	34431
220	9755	34388
221	9799	34343
222	9844	34300
223	9885	34247
224	9930	34205
225	9975	34165
226	10019	34118
227	10061	34069
228	10101	34011
229	10153	33992
230	10196	33944
231	10240	33899
232	10282	33849
233	10327	33805
234	10371	33761
235	10418	33726
236	10464	33688
237	10510	33651
238	10558	33618
239	10603	33576
240	10649	33538
241	10693	33495
242	10740	33458
243	10785	33416
244	10829	33371
245	10871	33322
246	10924	33303
247	10968	33258
248	11019	33236
249	11062	33186
250	11092	33099
251	11128	33031
252	11159	32949
253	11195	32882
254	11235	32826
255	11275	32770
256	11308	32692
257	11342	32619
258	11374	32541
259	11399	32446
260	11429	32360
261	11467	32301
262	11508	32251
263	11551	32204
264	11599	32172
265	11643	32129
266	11688	32088
267	11731	32043
268	11775	32000
269	11818	31953
270	11862	31911
271	11906	31868
272	11952	31828
273	11995	31784
274	12039	31740
275	12083	31697
276	12125	31648
277	12171	31611
278	12215	31568
279	12259	31524
280	12303	31482
281	12352	31450
282	12396	31408
283	12439	31362
284	12485	31322
285	12529	31279
286	12573	31236
287	12617	31194
288	12662	31151
289	12713	31127
290	12759	31087
291	12802	31040
292	12847	31000
293	12890	30954
294	12935	30912
295	12979	30870
296	13023	30826
297	13067	30782
298	13111	30738
299	13155	30695
300	13200	30655
301	13244	30611
302	13286	30564
303	13330	30520
304	13377	30482
305	13420	30437
306	13464	30393
307	13509	30352
308	13553	30308
309	13599	30270
310	13639	30217
311	13680	30166
312	13724	30123
313	13766	30076
314	13812	30036
315	13855	29991
316	13899	29947
317	13943	29904
318	13987	29861
319	14036	29826
320	14077	29777
321	14121	29733
322	14164	29688
323	14210	29648
324	14252	29601
325	14294	29553
326	14338	29509
327	14384	29470
328	14427	29424
329	14472	29383
330	14517	29342
331	14565	29307
332	14611	29266
333	14659	29231
334	14708	29196
335	14752	29153
336	14796	29109
337	14840	29066
338	14883	29020
339	14927	28976
340	14970	28932
341	15014	28888
342	15058	28843
343	15102	28799
344	15143	28750
345	15187	28707
346	15230	28661
347	15274	28617
348	15319	28575
349	15368	28540
350	15412	28497
351	15455	28452
352	15499	28409
353	15545	28368
354	15594	28334
355	15638	28290
356	15682	28246
357	15726	28202
358	15770	28158
359	15811	28109
360	15855	28065
361	15897	28017
362	15939	27971
363	15985	27930
364	16029	27887
365	16074	27844
366	16118	27800
367	16160	27753
368	16201	27705
369	16245	27661
370	16287	27614
371	16332	27572
372	16378	27531
373	16420	27485
374	16465	27442
375	16508	27396
376	16554	27355
377	16598	27312
378	16641	27268
379	16685	27224
380	16730	27181
381	16774	27137
382	16817	27092
383	16863	27051
384	16908	27008
385	16950	26962
386	16995	26919
387	17039	26876
388	17083	26833
389	17129	26791
390	17172	26747
391	17218	26706
392	17262	26662
393	17305	26616
394	17350	26575
395	17394	26531
396	17439	26488
397	17482	26443
398	17529	26404
399	17576	26364
400	17619	26318
401	17662	26273
402	17705	26228
403	17746	26180
404	17790	26136
405	17836	26095
406	17881	26054
407	17925	26009
408	17968	25963
409	18010	25916
410	18054	25874
411	18095	25826
412	18140	25782
413	18182	25736
414	18225	25691
415	18270	25649
416	18313	25603
417	18360	25564
418	18404	25519
419	18447	25475
420	18490	25430
421	18532	25383
422	18576	25339
423	18619	25294
424	18663	25250
425	18706	25205
426	18749	25160
427	18792	25115
428	18837	25072
429	18879	25026
430	18924	24983
431	18968	24940
432	19013	24897
433	19058	24854
434	19103	24812
435	19146	24766
436	19189	24722
437	19234	24680
438	19279	24637
439	19322	24592
440	19374	24558
441	19419	24515
442	19464	24472
443	19508	24429
444	19553	24386
445	19600	24346
446	19646	24305
447	19690	24261
448	19733	24216
449	19777	24172
450	19822	24129
451	19866	24085
452	19911	24042
453	19954	23998
454	19999	23955
455	20042	23910
456	20085	23864
457	20130	23822
458	20172	23776
459	20215	23731
460	20258	23685
461	20302	23642
462	20347	23599
463	20390	23554
464	20434	23511
465	20478	23466
466	20522	23422
467	20565	23377
468	20614	23339
469	20657	23294
470	20700	23249
471	20744	23205
472	20787	23160
473	20829	23115
474	20873	23071
475	20917	23027
476	20959	22980
477	20993	22925
478	21045	22891
479	21086	22844
480	21132	22802
481	21166	22747
482	21202	22694
483	21236	22640
484	21271	22586
485	21308	22536
486	21343	22482
487	21378	22429
488	21411	22375
489	21449	22325
490	21482	22269
491	21525	22225
492	21561	22174
493	21601	22126
494	21639	22076
495	21678	22027
496	21713	21976
497	21749	21924
498	21784	21872
499	21822	21822
500	21865	21778
501	21901	21726
502	21949	21687
503	21988	21639
504	22022	21586
505	22067	21543
506	22101	21491
507	22139	21442
508	22187	21402
509	22227	21355
510	22269	21310
511	22315	21269
512	22361	21228
513	22409	21188
514	22466	21157
515	22540	21142
516	22612	21125
517	22647	21073
518	22677	21017
519	22709	20962
520	22750	20916
521	22788	20867
522	22825	20817
523	22863	20769
524	22897	20716
525	22931	20664
526	22968	20614
527	23012	20571
528	23048	20521
529	23084	20470
530	23125	20425
531	23165	20378
532	23209	20335
533	23251	20290
534	23288	20241
535	23326	20193
536	23362	20143
537	23398	20093
538	23433	20042
539	23474	19996
540	23519	19954
541	23569	19916
542	23616	19876
543	23661	19834
544	23706	19791
545	23743	19742
546	23788	19700
547	23832	19657
548	23874	19612
549	23918	19569
550	23967	19530
551	24009	19485
552	24044	19435
553	24103	19404
554	24154	19367
555	24201	19326
556	24241	19280
557	24279	19231
558	24315	19183
559	24352	19134
560	24392	19088
561	24427	19037
562	24459	18985
563	24496	18937
564	24537	18891
565	24643	18895
566	24690	18855
567	24735	18812
568	24773	18765
569	24814	18719
570	24850	18670
571	24883	18619
572	24928	18576
573	24970	18532
574	25004	18481
575	25040	18432
576	25080	18386
577	25115	18336
578	25150	18287
579	25184	18236
580	25218	18186
581	25253	18137
582	25292	18090
583	25329	18043
584	25359	17990
585	25396	17942
586	25438	17897
587	25491	17861
588	25536	17819
589	25574	17771
590	25614	17726
591	25652	17679
592	25688	17631
593	25721	17580
594	25758	17533
595	25795	17485
596	25837	17441
597	25877	17395
598	25920	17352
599	25960	17306
600	26003	17263
601	26039	17215
602	26072	17165
603	26108	17117
604	26150	17073
605	26189	17027
606	26224	16979
607	26260	16930
608	26300	16885
609	26336	16838
610	26371	16789
611	26409	16743
612	26449	16698
613	26489	16652
614	26532	16609
615	26575	16566
616	26620	16524
617	26655	16476
618	26697	16432
619	26743	16391
620	26789	16349
621	26838	16310
622	26883	16268
623	26928	16226
624	26975	16185
625	27018	16142
626	27065	16101
627	27109	16058
628	27152	16015
629	27197	15973
630	27242	15931
631	27293	15892
632	27343	15853
633	27389	15811
634	27426	15764
635	27457	15714
636	27491	15666
637	27529	15620
638	27571	15576
639	27615	15533
640	27657	15489
641	27682	15436
642	27723	15392
643	27764	15348
644	27798	15300
645	27832	15251
646	27879	15210
647	27910	15161
648	27950	15116
649	27983	15068
650	28014	15018
651	28052	14972
652	28088	14926
653	28131	14882
654	28161	14833
655	28197	14786
656	28238	14742
657	28283	14700
658	28328	14658
659	28373	14616
660	28421	14576
661	28466	14534
662	28515	14494
663	28564	14454
664	28613	14414
665	28663	14374
666	28712	14334
667	28755	14291
668	28791	14244
669	28820	14195
670	28855	14148
671	28899	14105
672	28946	14064
673	28990	14022
674	29043	13983
675	29103	13948
676	29139	13902
677	29180	13858
678	29220	13814
679	29273	13775
680	29324	13736
681	29372	13695
682	29417	13653
683	29461	13610
684	29509	13570
685	29557	13529
686	29603	13487
687	29648	13445
688	29691	13402
689	29738	13360
690	29785	13319
691	29829	13276
692	29873	13233
693	29920	13192
694	29968	13151
695	30014	13109
696	30058	13067
697	30106	13025
698	30153	12984
699	30199	12942
700	30246	12901
701	30292	12859
702	30336	12816
703	30380	12773
704	30427	12731
705	30484	12694
706	30524	12650
707	30567	12606
708	30600	12559
709	30631	12511
710	30661	12462
711	30699	12417
712	30740	12373
713	30782	12330
714	30814	12282
715	30844	12234
716	30880	12188
717	30927	12147
718	30967	12102
719	31006	12058
720	31041	12011
721	31077	11966
722	31120	11923
723	31158	11878
724	31199	11834
725	31241	11790
726	31279	11745
727	31394	11729
728	31438	11687
729	31475	11641
730	31509	11595
731	31542	11548
732	31576	11502
733	31609	11455
734	31639	11407
735	31670	11360
736	31705	11314
737	31738	11267
738	31782	11224
739	31830	11183
740	31876	11141
741	31927	11101
742	31978	11061
743	32036	11023
744	32086	10982
745	32121	10936
746	32174	10897
747	32235	10860
748	32289	10820
749	32336	10778
750	32387	10738
751	32432	10695
752	32484	10655
753	32535	10615
754	32570	10569
755	32616	10526
756	32657	10483
757	32701	10440
758	32749	10398
759	32795	10356
760	32833	10311
761	32870	10266
762	32903	10220
763	32933	10173
764	32965	10126
765	33004	10082
766	33038	10036
767	33071	9990
768	33110	9946
769	33148	9901
770	33181	9855
771	33215	9809
772	33245	9762
773	33273	9715
774	33311	9671
775	33414	9645
776	33442	9597
777	33469	9550
778	33505	9505
779	33550	9462
780	33599	9421
781	33647	9379
782	33693	9337
783	33729	9292
784	33767	9248
785	33804	9203
786	33850	9161
787	33893	9118
788	33934	9074
789	33972	9030
790	34011	8986
791	34051	8942
792	34094	8899
793	34139	8857
794	34188	8815
795	34231	8772
796	34277	8730
797	34321	8687
798	34365	8645
799	34410	8602
800	34454	8559
801	34499	8517
802	34545	8475
803	34588	8432
804	34629	8388
805	34680	8347
806	34738	8308
807	34787	8266
808	34834	8224
809	34882	8182
810	34940	8142
811	34989	8100
812	35027	8056
813	35061	8011
814	35108	7969
815	35152	7926
816	35186	7881
817	35219	7836
818	35254	7791
819	35284	7745
820	35322	7701
821	35365	7658
822	35410	7615
823	35455	7572
824	35501	7530
825	35546	7488
826	35592	7445
827	35637	7402
828	35681	7360
829	35727	7317
830	35770	7274
831	35814	7231
832	35857	7188
833	35901	7145
834	35937	7101
835	35983	7059
836	36030	7016
837	36070	6973
838	36115	6930
839	36163	6888
840	36211	6846
841	36256	6803
842	36301	6760
843	36346	6718
844	36389	6674
845	36434	6632
846	36476	6589
847	36522	6546
848	36567	6503
849	36610	6460
850	36657	6418
851	36700	6375
852	36746	6332
853	36790	6289
854	36834	6246
855	36879	6204
856	36923	6161
857	36966	6118
858	37012	6075
859	37059	6032
860	37101	5989
861	37145	5946
862	37189	5903
863	37237	5861
864	37284	5818
865	37327	5775
866	37371	5732
867	37413	5689
868	37460	5647
869	37506	5604
870	37548	5561
871	37594	5518
872	37637	5475
873	37681	5432
874	37726	5389
875	37771	5346
876	37815	5303
877	37861	5260
878	37907	5218
879	37951	5175
880	37994	5132
881	38039	5089
882	38083	5046
883	38125	5002
884	38170	4960
885	38218	4917
886	38261	4874
887	38305	4831
888	38349	4788
889	38392	4745
890	38436	4702
891	38478	4658
892	38520	4615
893	38565	4572
894	38605	4529
895	38650	4486
896	38692	4443
897	38738	4400
898	38782	4357
899	38826	4314
900	38872	4271
901	38915	4228
902	38959	4184
903	39004	4142
904	39050	4099
905	39096	4056
906	39140	4013
907	39187	3970
908	39234	3927
909	39278	3884
910	39321	3841
911	39365	3798
912	39407	3755
913	39456	3712
914	39502	3669
915	39546	3626
916	39593	3583
917	39635	3540
918	39678	3497
919	39726	3454
920	39769	3411
921	39814	3368
922	39859	3325
923	39902	3282
924	39948	3239
925	39991	3195
926	40036	3152
927	40079	3109
928	40124	3066
929	40167	3023
930	40214	2980
931	40260	2937
932	40305	2894
933	40347	2851
934	40392	2808
935	40433	2764
936	40476	2721
937	40520	2678
938	40563	2635
939	40609	2592
940	40655	2549
941	40699	2505
942	40744	2462
943	40789	2419
944	40833	2376
945	40879	2333
946	40922	2290
947	40966	2247
948	41010	2203
949	41055	2160
950	41097	2117
951	41141	2074
952	41186	2031
953	41234	1988
954	41275	1944
955	41318	1901
956	41360	1858
957	41405	1815
958	41452	1772
959	41497	1729
960	41549	1686
961	41593	1643
962	41638	1599
963	41684	1556
964	41728	1513
965	41770	1470
966	41814	1426
967	41858	1383
968	41904	1340
969	41949	1297
970	41993	1254
971	42038	1210
972	42081	1167
973	42125	1124
974	42168	1081
975	42214	1038
976	42259	994
977	42304	951
978	42348	908
979	42392	865
980	42437	821
981	42483	778
982	42530	735
983	42575	692
984	42618	649
985	42663	605
986	42707	562
987	42751	519
988	42795	475
989	42839	432
990	42885	389
991	42932	346
992	42976	302
993	43019	259
994	43064	216
995	43108	173
996	43151	129
997	43197	86
998	43243	43
999	43288	0
